,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistName
119,track,song,136975,1441133180,1441134482,The Beatles,The Beatles (The White Album),Revolution 9,The Beatles (The White Album),Revolution 9,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/revolution-9/1441133180?i=1441134482&uo=4,https://music.apple.com/us/album/revolution-9/1441133180?i=1441134482&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/10/27/27/1027275b-708d-942a-2f38-800ecaa0d79e/mzaf_7748806922353413165.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/16/fe/6a/16fe6a77-f15a-a4e3-1f92-cda58964c7d5/source/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/16/fe/6a/16fe6a77-f15a-a4e3-1f92-cda58964c7d5/source/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music125/v4/16/fe/6a/16fe6a77-f15a-a4e3-1f92-cda58964c7d5/source/100x100bb.jpg,19.99,1.29,1968-11-22T12:00:00Z,notExplicit,notExplicit,3,2,13,12,502013,USA,USD,Rock,True,
120,track,song,136975,1441133100,1441133507,The Beatles,The Beatles 1967-1970 (The Blue Album),The Long and Winding Road,The Beatles 1967-1970 (The Blue Album),The Long and Winding Road,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/the-long-and-winding-road/1441133100?i=1441133507&uo=4,https://music.apple.com/us/album/the-long-and-winding-road/1441133100?i=1441133507&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/a5/28/57/a528575c-d9a1-c7be-1c63-71d36ce0cb12/mzaf_16526379427982042544.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/100x100bb.jpg,19.99,1.29,1970-05-08T12:00:00Z,notExplicit,notExplicit,2,2,14,14,218262,USA,USD,Rock,True,
121,track,song,136975,1441133100,1441133287,The Beatles,The Beatles 1967-1970 (The Blue Album),The Ballad of John and Yoko,The Beatles 1967-1970 (The Blue Album),The Ballad of John and Yoko,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/the-ballad-of-john-and-yoko/1441133100?i=1441133287&uo=4,https://music.apple.com/us/album/the-ballad-of-john-and-yoko/1441133100?i=1441133287&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/8c/09/dc/8c09dc09-bdae-f99d-42ff-7f0f5b598da0/mzaf_637982859444318199.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/100x100bb.jpg,19.99,1.29,1969-05-30T12:00:00Z,notExplicit,notExplicit,2,2,14,6,181067,USA,USD,Rock,True,
122,track,song,136975,1441164670,1441165133,The Beatles,Revolver,Good Day Sunshine,Revolver,Good Day Sunshine,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/good-day-sunshine/1441164670?i=1441165133&uo=4,https://music.apple.com/us/album/good-day-sunshine/1441164670?i=1441165133&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a1/8e/ac/a18eac03-d617-c2a6-085a-13f83f03fcdd/mzaf_5869585145513258504.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/94/ae/3e/94ae3ecc-3a86-0d22-023d-148e6bd1c106/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/94/ae/3e/94ae3ecc-3a86-0d22-023d-148e6bd1c106/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/94/ae/3e/94ae3ecc-3a86-0d22-023d-148e6bd1c106/source/100x100bb.jpg,12.99,1.29,1966-08-05T12:00:00Z,notExplicit,notExplicit,1,1,14,8,129293,USA,USD,Rock,True,
123,track,song,136975,1441133100,1441133290,The Beatles,The Beatles 1967-1970 (The Blue Album),Come Together,The Beatles 1967-1970 (The Blue Album),Come Together,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/come-together/1441133100?i=1441133290&uo=4,https://music.apple.com/us/album/come-together/1441133100?i=1441133290&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ca/2f/39/ca2f397d-df30-3328-f646-83be9ea32bfe/mzaf_17148229298564707499.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/100x100bb.jpg,19.99,1.29,1969-09-26T12:00:00Z,notExplicit,notExplicit,2,2,14,9,259667,USA,USD,Rock,True,
124,track,song,136975,1441133100,1441133109,The Beatles,The Beatles 1967-1970 (The Blue Album),Sgt. Pepper's Lonely Hearts Club Band,The Beatles 1967-1970 (The Blue Album),Sgt. Pepper's Lonely Hearts Club Band,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/sgt-peppers-lonely-hearts-club-band/1441133100?i=1441133109&uo=4,https://music.apple.com/us/album/sgt-peppers-lonely-hearts-club-band/1441133100?i=1441133109&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/0e/e8/c6/0ee8c6e2-8646-490d-10d6-006a8ada6063/mzaf_7387231115208578852.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/100x100bb.jpg,19.99,1.29,1967-06-01T12:00:00Z,notExplicit,notExplicit,2,1,14,3,122133,USA,USD,Rock,True,
125,track,song,136975,1441164670,1441165146,The Beatles,Revolver,Got to Get You Into My Life,Revolver,Got to Get You Into My Life,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/got-to-get-you-into-my-life/1441164670?i=1441165146&uo=4,https://music.apple.com/us/album/got-to-get-you-into-my-life/1441164670?i=1441165146&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/01/31/12/01311292-afc2-c244-2d4f-893b826f5f09/mzaf_7692883405818817233.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/94/ae/3e/94ae3ecc-3a86-0d22-023d-148e6bd1c106/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/94/ae/3e/94ae3ecc-3a86-0d22-023d-148e6bd1c106/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music125/v4/94/ae/3e/94ae3ecc-3a86-0d22-023d-148e6bd1c106/source/100x100bb.jpg,12.99,1.29,1966-08-05T12:00:00Z,notExplicit,notExplicit,1,1,14,13,149240,USA,USD,Rock,True,
126,track,song,136975,1441133100,1441133275,The Beatles,The Beatles 1967-1970 (The Blue Album),Magical Mystery Tour,The Beatles 1967-1970 (The Blue Album),Magical Mystery Tour,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/magical-mystery-tour/1441133100?i=1441133275&uo=4,https://music.apple.com/us/album/magical-mystery-tour/1441133100?i=1441133275&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ea/63/f6/ea63f64d-eff9-4b5f-44df-ad890f30a13d/mzaf_1302238002869938033.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/100x100bb.jpg,19.99,1.29,1967-11-27T12:00:00Z,notExplicit,notExplicit,2,1,14,11,169133,USA,USD,Rock,True,
127,track,song,136975,1441132965,1441134128,The Beatles,The Beatles 1962-1966 (The Red Album),Yellow Submarine,The Beatles 1962-1966 (The Red Album),Yellow Submarine,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/yellow-submarine/1441132965?i=1441134128&uo=4,https://music.apple.com/us/album/yellow-submarine/1441132965?i=1441134128&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/4d/6b/d4/4d6bd4da-77a3-57a6-a4e1-f664697119ea/mzaf_12971272327461167610.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/1e/6a/db/1e6adb66-2feb-87b0-6649-af8c11d2fa29/source/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/1e/6a/db/1e6adb66-2feb-87b0-6649-af8c11d2fa29/source/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music114/v4/1e/6a/db/1e6adb66-2feb-87b0-6649-af8c11d2fa29/source/100x100bb.jpg,19.99,1.29,1966-08-05T12:00:00Z,notExplicit,notExplicit,2,2,13,13,157536,USA,USD,Rock,True,
128,track,song,136975,1441133100,1441133501,The Beatles,The Beatles 1967-1970 (The Blue Album),Something,The Beatles 1967-1970 (The Blue Album),Something,https://music.apple.com/us/artist/the-beatles/136975?uo=4,https://music.apple.com/us/album/something/1441133100?i=1441133501&uo=4,https://music.apple.com/us/album/something/1441133100?i=1441133501&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f2/a1/ba/f2a1ba00-0ed2-142e-b808-38194481d77e/mzaf_7154702357972234868.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/27/7e/ef/277eefc6-f30a-cf5d-6e84-a80c435f36b0/source/100x100bb.jpg,19.99,1.29,1969-09-26T12:00:00Z,notExplicit,notExplicit,2,2,14,10,183800,USA,USD,Rock,True,
